area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Nov,Sarjapur  Road,3 BHK,AsastDe,1157.0,2.0,1.0,53.99
Built-up  Area,Ready To Move,Canara Bank Colony,2 BHK,Apvas N,900.0,2.0,3.0,35.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Vaunei ,3800.0,3.0,3.0,325.0
Plot  Area,Ready To Move,Brookefield,5 Bedroom,Goodsrb,1950.0,6.0,3.0,175.0
Super built-up  Area,Ready To Move,Kudlu,3 BHK,GKityde,1570.0,2.0,2.0,65.94
Super built-up  Area,18-Aug,Kanakapura,2 BHK,GoityEt,1283.0,2.0,2.0,68.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,875.0,2.0,2.0,40.0
Super built-up  Area,18-Feb,Old Madras Road,4 BHK,Brica E,3630.0,6.0,1.0,196.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,990.0,2.0,2.0,37.62
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1199.0,2.0,1.0,85.0
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,2 BHK,Myhrie ,1190.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Harlur,2 BHK,Spiteid,1133.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,ManceEl,2400.0,3.0,3.0,140.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565.0,2.0,2.0,49.3
Built-up  Area,Ready To Move,Munnekollal,2 BHK,PancyRe,1080.0,2.0,2.0,45.0
Plot  Area,Ready To Move,Himagiri Meadows,3 Bedroom,Hiowsi ,1240.0,4.0,1.0,180.0
Built-up  Area,Ready To Move,HRBR Layout,3 BHK,Fleepi ,1335.0,2.0,1.0,87.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,PualeSk,1700.0,3.0,1.0,79.9
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GMown E,435.0,1.0,1.0,22.0
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Vrenty ,1116.0,2.0,1.0,51.89
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480.0,3.0,2.0,95.0
Built-up  Area,Ready To Move,Hormavu,2 BHK,Foisha ,1000.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145.0,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niara S,800.0,1.0,1.0,32.0
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Bhmesy ,1265.0,2.0,1.0,83.0
Super built-up  Area,21-Jul,Devanahalli,3 BHK,Oznuean,1700.0,3.0,0.0,88.2
Super built-up  Area,Ready To Move,Narayanappa Garden,2 BHK,Vacle P,1475.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Jancyva,1265.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2180.0,3.0,2.0,210.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Usnexra,1080.0,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,2023.0,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,Srhan P,1545.0,2.0,2.0,66.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804.0,3.0,2.0,166.0
Super built-up  Area,21-Dec,Hoodi,2 BHK,GoAirej,1108.0,2.0,1.0,74.23
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1427.0,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,935.0,2.0,1.0,35.53
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1073.0,2.0,2.0,31.77
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,960.0,2.0,3.0,37.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215.0,4.0,2.0,150.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1125.0,2.0,1.0,32.49
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590.0,3.0,2.0,58.0
Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,Mazler ,1350.0,3.0,2.0,68.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Aincyev,1560.0,2.0,3.0,72.0
Built-up  Area,Ready To Move,Mallasandra,4 BHK,Shbhi S,1810.0,3.0,2.0,57.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoniaPe,2274.24,4.0,1.0,160.0
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,Skacak ,1484.0,3.0,1.0,74.18
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,MCtleas,1650.0,3.0,3.0,220.0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,1455.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2280.0,4.0,2.0,184.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351.0,2.0,2.0,74.0
Super built-up  Area,18-Jun,KR Puram,3 BHK,MCnexva,1430.0,2.0,1.0,61.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3589.0,5.0,0.0,400.0
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1310.0,2.0,2.0,37.83
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1770.0,3.0,3.0,100.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447.0,2.0,1.0,75.97
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soena A,1296.0,2.0,1.0,89.0
Built-up  Area,Ready To Move,Kempapura,3 BHK,Vaenev ,1570.0,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Shyalha,1530.0,2.0,2.0,67.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,1800.0,3.0,1.0,70.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,1088.0,2.0,2.0,48.0
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1533.0,3.0,1.0,98.18
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,Asnts a,1540.0,3.0,3.0,90.0
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Skume R,1040.0,2.0,1.0,68.59
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1180.0,2.0,1.0,41.3
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,1124.0,2.0,1.0,30.35
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1100.0,2.0,1.0,71.42
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Smentha,1019.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1756.0,3.0,2.0,128.0
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1280.0,3.0,1.0,50.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134.0,4.0,2.0,118.0
Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,2515.0,4.0,3.0,155.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215.0,4.0,2.0,154.0
Super built-up  Area,Ready To Move,Basapura,3 BHK,Amageru,1440.0,3.0,2.0,72.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186.0,2.0,2.0,55.33
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Chtert ,1800.0,3.0,2.0,140.0
Built-up  Area,Ready To Move,Kudlu,3 BHK,GKityde,1600.0,3.0,3.0,79.0
Built-up  Area,Ready To Move,GM Palaya,2 BHK,Srg Bnc,1000.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305.0,2.0,1.0,59.0
Super built-up  Area,20-Jan,Binny Pete,3 BHK,She 2rk,1740.0,3.0,1.0,150.0
Built-up  Area,Ready To Move,Benson Town,2 BHK,Gohts H,1567.0,3.0,0.0,140.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082.0,2.0,1.0,45.5
Built-up  Area,Ready To Move,Begur,3 Bedroom,Duity C,3500.0,4.0,2.0,185.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1220.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,NCierar,1170.0,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Ajens G,1670.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2264.0,3.0,2.0,168.0
Super built-up  Area,Ready To Move,Begur,2 BHK,Viodspr,1100.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320.0,2.0,1.0,160.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PSmalsh,1125.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Lancya ,1300.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Meowns ,1600.0,3.0,2.0,83.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1052.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Ladenea,1130.0,2.0,2.0,36.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,2200.0,3.0,3.0,220.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500.0,2.0,1.0,63.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,1350.0,3.0,1.0,47.25
Super built-up  Area,Ready To Move,Gottigere,3 BHK,MBireap,1230.0,2.0,2.0,52.0
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,1520.0,2.0,2.0,85.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.25
Super built-up  Area,20-Oct,Hosa Road,2 BHK,Skume R,1040.0,2.0,1.0,61.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690.0,4.0,3.0,201.0
Super built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,780.0,1.0,1.0,70.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Saite G,1140.0,2.0,1.0,51.2
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1225.0,3.0,1.0,33.08
Built-up  Area,Ready To Move,Nagavarapalya,1 BHK,MYncysi,646.0,1.0,0.0,25.84
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1890.0,4.0,3.0,125.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1458.0,2.0,2.0,62.0
Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007.0,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,M ondit,1105.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1700.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Dehts H,1170.0,2.0,3.0,50.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,GCbowai,1080.0,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,62.0
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,Vaharvi,1200.0,2.0,1.0,57.9
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1040.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,1085.0,2.0,2.0,33.7
Plot  Area,Ready To Move,Hoodi,4 Bedroom,Kreera ,1100.0,4.0,1.0,120.0
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,1050.0,2.0,1.0,55.0
Super built-up  Area,18-Aug,Iblur Village,3 BHK,DNionfl,1920.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,947.55,2.0,1.0,80.0
Built-up  Area,Ready To Move,Malleshpalya,2 BHK,KencyRe,1421.0,2.0,1.0,90.0
Super built-up  Area,18-May,Old Madras Road,3 BHK,Saesttt,1425.0,2.0,2.0,74.31
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162.0,2.0,1.0,58.0
Super built-up  Area,18-Jul,Whitefield,1 BHK,Prtates,905.0,1.0,1.0,60.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,914.0,2.0,1.0,32.0
Plot  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,3500.0,4.0,1.0,289.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,1537.0,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Aimesya,2250.0,3.0,1.0,200.0
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,KrineAq,2000.0,4.0,1.0,69.0
Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950.0,2.0,0.0,32.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282.0,2.0,1.0,48.72
Built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,1220.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636.0,3.0,2.0,85.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1415.0,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1728.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680.0,3.0,3.0,125.0
Super built-up  Area,19-Dec,Venkatapura,2 BHK,ThBayah,1235.0,2.0,1.0,140.0
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495.0,2.0,2.0,83.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2501.0,3.0,3.0,138.0
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,381.0,1.0,0.0,28.0
Super built-up  Area,19-Mar,Gopalapura,4 BHK,Sothadr,3301.8,5.0,2.0,570.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2002.0,3.0,2.0,120.0
Built-up  Area,17-Mar,Meenakunte,3 Bedroom,Sreat R,3200.0,3.0,0.0,260.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1450.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MDonta ,1039.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210.0,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,995.0,1.0,1.0,24.88
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,1620.0,3.0,2.0,90.0
Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,3204.0,4.0,3.0,395.0
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3408.0,3.0,3.0,260.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,1314.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,945.0,2.0,1.0,33.0
Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1374.0,3.0,2.0,72.0
Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1603.0,3.0,3.0,113.0
Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1230.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1864.0,3.0,2.0,105.0
Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,2500.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,1625.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1186.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770.0,1.0,1.0,39.9
Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,1085.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,3754.0,6.0,2.0,480.0
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1893.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,1496.0,2.0,3.0,78.0
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1305.0,3.0,1.0,33.28
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550.0,2.0,2.0,82.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1494.0,2.0,2.0,94.55
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1286.0,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,1860.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1200.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,1044.0,2.0,2.0,32.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040.0,2.0,1.0,41.59
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278.0,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Belatur,2 BHK,ViaarSa,1250.0,2.0,1.0,43.0
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,1157.0,2.0,1.0,57.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185.0,2.0,1.0,51.15
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859.0,3.0,2.0,121.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763.0,3.0,2.0,262.0
Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,900.0,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,1305.0,3.0,1.0,60.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,784.0,1.0,0.0,35.285
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1150.0,2.0,0.0,36.8
Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,1806.0,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027.0,2.0,2.0,42.0
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,1002.0,2.0,1.0,40.08
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,1220.0,2.0,1.0,36.21
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109.0,2.0,1.0,35.22
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,1002.0,2.0,1.0,40.08
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308.0,2.0,1.0,89.04
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232.0,2.0,1.0,69.6
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255.0,2.0,1.0,53.87
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1434.0,3.0,3.0,84.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,925.0,2.0,2.0,30.0
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1858.0,3.0,1.0,123.0
Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,1205.0,2.0,1.0,70.0
Plot  Area,18-Jul,Nelamangala,3 Bedroom,V2gesre,1500.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,965.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,1636.0,2.0,2.0,82.89
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,1724.0,3.0,1.0,125.0
Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,67.0
Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,654.0,1.0,1.0,36.25
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636.0,3.0,2.0,92.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,1195.0,2.0,2.0,73.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400.0,3.0,3.0,251.0
Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,1546.0,3.0,1.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,3385.5,6.0,0.0,142.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1475.0,2.0,2.0,171.0
Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,3000.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007.0,2.0,1.0,66.0
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,909.0,2.0,1.0,43.0
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,1400.0,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990.0,5.0,1.0,173.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,1310.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590.0,2.0,2.0,126.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1645.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1795.0,3.0,2.0,150.0
Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,777.0,1.0,0.0,38.535
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925.0,2.0,2.0,70.0
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,3746.0,6.0,1.0,375.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,1020.0,2.0,2.0,55.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1140.0,2.0,1.0,32.92
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2470.0,4.0,2.0,203.0
Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,PavanSa,850.0,1.0,0.0,35.5
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,1120.0,2.0,2.0,50.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1492.0,3.0,1.0,88.0
Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,1498.0,3.0,3.0,79.15
Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,3500.0,2.0,1.0,350.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010.0,2.0,1.0,48.27
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,2.0,53.5
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1050.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2144.6,4.0,2.0,145.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,750.0,2.0,1.0,36.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919.0,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1087.0,2.0,1.0,54.3
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,Bustain,1480.0,3.0,2.0,74.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221.0,3.0,2.0,65.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072.0,3.0,2.0,122.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,3.0,220.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1253.0,2.0,2.0,81.5
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1061.0,2.0,1.0,54.92
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,1250.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,1585.0,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452.0,3.0,3.0,60.98
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,1015.0,2.0,2.0,37.0
Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,2464.5,6.0,0.0,118.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,1116.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,4000.0,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900.0,4.0,2.0,410.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,1.0,60.42
Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,DSionhe,1310.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,152.0
